word_id,sentence_id,sentence,context,word,label,special_tags,is_correct,corrected_label,corrected_special_tags,is_dirty,notes
910,52,"Deko alam bakit gustong gusto ng mga pinoy si cong , as i can see napakakorny nya , de ko ba alam kung natatakpan ng kasikatan ang kakornihan nya o talagang marmi lng talagang jejemon sa pinas ?",Deko alam bakit,Deko,FIL,,FALSE,FIL,,TRUE,
911,52,"Deko alam bakit gustong gusto ng mga pinoy si cong , as i can see napakakorny nya , de ko ba alam kung natatakpan ng kasikatan ang kakornihan nya o talagang marmi lng talagang jejemon sa pinas ?",Deko alam bakit gustong,alam,FIL,,TRUE,,,,
912,52,"Deko alam bakit gustong gusto ng mga pinoy si cong , as i can see napakakorny nya , de ko ba alam kung natatakpan ng kasikatan ang kakornihan nya o talagang marmi lng talagang jejemon sa pinas ?",Deko alam bakit gustong gusto,bakit,FIL,,TRUE,,,,
913,52,"Deko alam bakit gustong gusto ng mga pinoy si cong , as i can see napakakorny nya , de ko ba alam kung natatakpan ng kasikatan ang kakornihan nya o talagang marmi lng talagang jejemon sa pinas ?",alam bakit gustong gusto ng,gustong,FIL,,TRUE,,,,
914,52,"Deko alam bakit gustong gusto ng mga pinoy si cong , as i can see napakakorny nya , de ko ba alam kung natatakpan ng kasikatan ang kakornihan nya o talagang marmi lng talagang jejemon sa pinas ?",bakit gustong gusto ng mga,gusto,FIL,,TRUE,,,,
915,52,"Deko alam bakit gustong gusto ng mga pinoy si cong , as i can see napakakorny nya , de ko ba alam kung natatakpan ng kasikatan ang kakornihan nya o talagang marmi lng talagang jejemon sa pinas ?",gustong gusto ng mga pinoy,ng,FIL,,TRUE,,,,
916,52,"Deko alam bakit gustong gusto ng mga pinoy si cong , as i can see napakakorny nya , de ko ba alam kung natatakpan ng kasikatan ang kakornihan nya o talagang marmi lng talagang jejemon sa pinas ?",gusto ng mga pinoy si,mga,FIL,,TRUE,,,,
917,52,"Deko alam bakit gustong gusto ng mga pinoy si cong , as i can see napakakorny nya , de ko ba alam kung natatakpan ng kasikatan ang kakornihan nya o talagang marmi lng talagang jejemon sa pinas ?",ng mga pinoy si cong,pinoy,FIL,,FALSE,FIL,NE,FALSE,
918,52,"Deko alam bakit gustong gusto ng mga pinoy si cong , as i can see napakakorny nya , de ko ba alam kung natatakpan ng kasikatan ang kakornihan nya o talagang marmi lng talagang jejemon sa pinas ?","mga pinoy si cong ,",si,FIL,,TRUE,,,,
919,52,"Deko alam bakit gustong gusto ng mga pinoy si cong , as i can see napakakorny nya , de ko ba alam kung natatakpan ng kasikatan ang kakornihan nya o talagang marmi lng talagang jejemon sa pinas ?","pinoy si cong , as",cong,UNK,NE,TRUE,,,,
920,52,"Deko alam bakit gustong gusto ng mga pinoy si cong , as i can see napakakorny nya , de ko ba alam kung natatakpan ng kasikatan ang kakornihan nya o talagang marmi lng talagang jejemon sa pinas ?","si cong , as i",",",SYM,,TRUE,,,,
921,52,"Deko alam bakit gustong gusto ng mga pinoy si cong , as i can see napakakorny nya , de ko ba alam kung natatakpan ng kasikatan ang kakornihan nya o talagang marmi lng talagang jejemon sa pinas ?","cong , as i can",as,ENG,,TRUE,,,,
922,52,"Deko alam bakit gustong gusto ng mga pinoy si cong , as i can see napakakorny nya , de ko ba alam kung natatakpan ng kasikatan ang kakornihan nya o talagang marmi lng talagang jejemon sa pinas ?",", as i can see",i,ENG,,TRUE,,,,
923,52,"Deko alam bakit gustong gusto ng mga pinoy si cong , as i can see napakakorny nya , de ko ba alam kung natatakpan ng kasikatan ang kakornihan nya o talagang marmi lng talagang jejemon sa pinas ?",as i can see napakakorny,can,ENG,,TRUE,,,,
924,52,"Deko alam bakit gustong gusto ng mga pinoy si cong , as i can see napakakorny nya , de ko ba alam kung natatakpan ng kasikatan ang kakornihan nya o talagang marmi lng talagang jejemon sa pinas ?",i can see napakakorny nya,see,ENG,,TRUE,,,,
925,52,"Deko alam bakit gustong gusto ng mga pinoy si cong , as i can see napakakorny nya , de ko ba alam kung natatakpan ng kasikatan ang kakornihan nya o talagang marmi lng talagang jejemon sa pinas ?","can see napakakorny nya ,",napakakorny,UNK,,FALSE,CS,,FALSE,
926,52,"Deko alam bakit gustong gusto ng mga pinoy si cong , as i can see napakakorny nya , de ko ba alam kung natatakpan ng kasikatan ang kakornihan nya o talagang marmi lng talagang jejemon sa pinas ?","see napakakorny nya , de",nya,FIL,,TRUE,,,,
927,52,"Deko alam bakit gustong gusto ng mga pinoy si cong , as i can see napakakorny nya , de ko ba alam kung natatakpan ng kasikatan ang kakornihan nya o talagang marmi lng talagang jejemon sa pinas ?","napakakorny nya , de ko",",",SYM,,TRUE,,,,
928,52,"Deko alam bakit gustong gusto ng mga pinoy si cong , as i can see napakakorny nya , de ko ba alam kung natatakpan ng kasikatan ang kakornihan nya o talagang marmi lng talagang jejemon sa pinas ?","nya , de ko ba",de,FIL,,TRUE,,,,
